Sınav Yılı,Sayfa Dosyası,Soru No,Soru Metni,Ana Konu,Soru Tipi
2017_ALES_Ilkbahar,page_3.png,1,(2/3 - 3/4) / (3/4 - 4/5) işleminin sonucu kaçtır?,Rasyonel Sayılar,Salt İşlem
2017_ALES_Ilkbahar,page_3.png,2,(4^3 * 3^4) / 6^4 işleminin sonucu kaçtır?,Üslü Sayılar,Salt İşlem
2017_ALES_Ilkbahar,page_3.png,3,(√108 - √12) / (√147 - √75) işleminin sonucu kaçtır?,Köklü Sayılar,Salt İşlem
2017_ALES_Ilkbahar,page_3.png,4,(8! - 7! - 6!) / (5! - 4!) işleminin sonucu kaçtır?,Faktöriyel,Salt İşlem
2017_ALES_Ilkbahar,page_4.png,5,-1 + a + a^2 / 1 + a^-1 - a^-2 ifadesinin sadeleştirilmiş biçimi.,Rasyonel Denklemler,Salt İşlem
2017_ALES_Ilkbahar,page_4.png,6,"x, y, z tam sayılar olmak üzere, x * y + z ifadesi tek sayıdır. Buna göre, x tek ise y + z tektir, y çift ise x + z tektir, z çift ise x + y çifttir ifadelerinden hangileri her zaman doğrudur?",Tek/Çift Sayılar,Problemler
2017_ALES_Ilkbahar,page_4.png,7,"Pozitif gerçek sayılar kümesi üzerinde Δ işlemi x Δ y = √x (y + 1) + √y (x + 1) biçiminde tanımlanıyor. Buna göre, 8 Δ 18 işleminin sonucu kaçtır?",İşlem Tanımlama,Salt İşlem
2017_ALES_Ilkbahar,page_4.png,8,"a, b ve c gerçek sayıları için a^2 - bc = 11, b^2 + ac = 7, a - b - c = 4 olduğuna göre, a + b toplamı kaçtır?",Cebirsel Denklemler,Salt İşlem
2017_ALES_Ilkbahar,page_5.png,9,"Verilen üslü denklemlerden (2^x - 3^y = 9, 2^(x+1) = 3^(y+1)) hareketle 2^x + 3^y toplamını bulunuz.",Üslü Sayılar,Salt İşlem
2017_ALES_Ilkbahar,page_5.png,10,"n pozitif tam sayı olmak üzere, (5n + 60) / n ifadesi bir tam sayının karesine eşitse, n'nin alabileceği değerlerin toplamı kaçtır?",Sayılar Teorisi / Tam Sayılar,Problemler
2017_ALES_Ilkbahar,page_5.png,11,"a, b ve c tam sayılar için verilen çarpım eşitsizliklerine (a.b.c < 0, a.c = -3, b.c = -5) göre doğru sıralamayı bulunuz.",Sayılar Teorisi / Eşitsizlikler,Salt İşlem
2017_ALES_Ilkbahar,page_5.png,12,"Rakamlarının toplamının karesi, rakamlarının kareleri toplamından 36 fazla olan kaç tane iki basamaklı doğal sayı vardır?",Sayı Basamakları / Cebir,Problemler
2017_ALES_Ilkbahar,page_6.png,13,"Bir apartmanda 1'den 6'ya kadar numaralandırılmış 6 dairenin her birinde birer çocuk bulunmaktadır. Bu çocukların her biri, bayram ziyareti için bu apartmanda bulunan kendi dairesi dışındaki diğer tüm daireleri ziyaret etmiş ve ziyaret ettiği daireden o dairenin numarası kadar şeker toplamıştır. Çocuklardan ikisi toplam 38 şeker topladığına göre, bu iki çocuğun bulunduğu dairelerin numaraları toplamı kaçtır?",Sayı Problemleri,Problemler
2017_ALES_Ilkbahar,page_6.png,14,"Bir organizasyon şirketinde çalışan Çınar, gelen bir sipariş üzerine belirli sayıdaki davetiyeyi elindeki zarflara yerleştirecektir. Çınar, her zarfa 3 davetiye yerleştirmek istediğinde zarfların tamamının kullanıldığını ve 2 davetiyenin arttığını; her zarfa 4 davetiye yerleştirmek istediğinde ise zarfların beşte birinin boş kaldığını ve bir zarfta da 2 davetiyenin olduğunu fark ediyor. Buna göre, başlangıçta Çınar'ın elindeki zarf sayısı kaçtır?",Sayı Problemleri,Problemler
2017_ALES_Ilkbahar,page_6.png,15,"Bir şirket her ayın üçüncü Çarşamba günü yönetim kurulu toplantısı yapmaktadır. Buna göre, bu şirket bir yönetim kurulu toplantısını ayın en geç kaçıncı günü yapabilir?",Takvim Problemleri,Problemler
2017_ALES_Ilkbahar,page_6.png,16,"Şekildeki gibi üç bölmeye ayrılmış dikdörtgen biçimindeki bir yüzme havuzunda Ömer, Halis ve Demir bulundukları başlangıç noktalarından aynı anda bir yarışa başlıyorlar. Yarış bitene kadar, bulunduğu kenardan karşı kenara en kısa yol üzerinden sabit hızlarla yüzen yarışmacılar, karşı kenara ulaştıklarında zaman kaybetmeden ve hızlarını değiştirmeden geri dönüyorlar ve tekrar başlangıç noktasına ulaştıklarında 1 tur tamamlamış oluyorlar. Ömer bir tur tamamladığında; Halis havuzun karşı kenarına kadar yüzmüş, Demir ise karşı kenara yüzüp geri dönüş yolunun yarısını tamamlamıştır. Halis 2 tur tamamladığında bu üç yüzücü toplam 720 metre yüzdüğüne göre, bir tur kaç metredir?",Hız Problemleri,Problemler
2017_ALES_Ilkbahar,page_7.png,17,"Bir sanatçı, konserinde her biri 3 ya da 5 dakikalık olan toplam 18 şarkı söylemiş ve her iki şarkı arasında 2 dakikalık molalar vermiştir. Konser toplam 100 dakika sürmüştür. Sanatçı konserde kaç tane 5 dakikalık şarkı söylemiştir?",Problemler,Problemler
2017_ALES_Ilkbahar,page_7.png,18,"Verilen sütun grafiğinde bir ailenin ödediği doğalgaz faturasının mevsimlere göre değişimi gösterilmiştir. Buna göre, bu ailenin bir yıllık doğalgaz ödemesi bir daire grafiğinde gösterilirse sonbahar mevsimindeki ödemesi kaç derecelik merkez açı ile gösterilir?",Tablo/Grafik Yorumlama,Tablo/Grafik Okuma
2017_ALES_Ilkbahar,page_8.png,19,"İki basamaklı AB sayısı A² + 4B olarak tanımlandığında, AB = BA eşitliğini sağlayan kaç farklı AB sayısı vardır?",Sayı Basamakları,Salt İşlem
2017_ALES_Ilkbahar,page_8.png,20,"İki basamaklı AB sayısı A² + 4B olarak tanımlandığında, AB = 29 eşitliğini sağlayan AB sayılarının toplamı kaçtır?",Sayı Basamakları,Salt İşlem
2017_ALES_Ilkbahar,page_9.png,21,Başlangıçtan 10 saniye sonra düzeneklerde oluşan görünüm aşağıdakilerden hangisidir?,Mantık,Yeni Nesil Mantık
2017_ALES_Ilkbahar,page_9.png,22,Yukarıdaki görünüm başlangıçtan en az kaç saniye sonra elde edilir?,Mantık,Yeni Nesil Mantık
2017_ALES_Ilkbahar,page_10.png,23,"Toplam 210 elma ağacının bulunduğu bu bahçedeki tüm ağaçların %20'si armut ağacıdır. Buna göre, bahçedeki kayısı ağaçlarının sayısı kaçtır?",Yüzde Problemleri,Problemler
2017_ALES_Ilkbahar,page_10.png,24,"Bahçedeki elma ağaçlarının sayısı; kayısı ağaçlarının sayısının 3 katı, toplam ağaç sayısının yarısıdır. Buna göre, bahçedeki incir ağaçlarının sayısı kaçtır?",Sayı Problemleri,Problemler
2017_ALES_Ilkbahar,page_11.png,25,"Pozitif tam sayılardan oluşan {an} dizisi an+1 = an + n eşitliğini sağlıyor. a1 = 20 olduğuna göre, a21 kaçtır?",Diziler,Salt İşlem
2017_ALES_Ilkbahar,page_11.png,26,"Pozitif tam sayılardan oluşan {an} dizisi an+1 = an + n eşitliğini sağlıyor. a40 = 2017 olduğuna göre, a1 kaçtır?",Diziler,Salt İşlem
2017_ALES_Ilkbahar,page_11.png,27,Pozitif tam sayılardan oluşan {an} dizisi an+1 = an + n eşitliğini sağlıyor. a40 - a20 ifadesinin değeri kaçtır?,Diziler,Salt İşlem
2017_ALES_Ilkbahar,page_12.png,28,"Verilen kurala göre doldurulmuş tablodaki sayılardan, maviye boyanmış dört kutunun sütun numaraları toplamı kaçtır? Tablo: 1 0 2 0 2 1 1 1",Sözel Mantık,Yeni Nesil Mantık
